date,trend_score,keyword,region
2024-12-08,83,meditation,chicago
2024-12-15,73,meditation,chicago
2024-12-22,58,meditation,chicago
2024-12-29,79,meditation,chicago
2025-01-05,84,meditation,chicago
2025-01-12,87,meditation,chicago
2025-01-19,87,meditation,chicago
2025-01-26,88,meditation,chicago
2025-02-02,85,meditation,chicago
2025-02-09,78,meditation,chicago
2025-02-16,85,meditation,chicago
2025-02-23,81,meditation,chicago
2025-03-02,77,meditation,chicago
2025-03-09,79,meditation,chicago
2025-03-16,73,meditation,chicago
2025-03-23,72,meditation,chicago
2025-03-30,74,meditation,chicago
2025-04-06,79,meditation,chicago
2025-04-13,74,meditation,chicago
2025-04-20,59,meditation,chicago
2025-04-27,71,meditation,chicago
2025-05-04,68,meditation,chicago
2025-05-11,69,meditation,chicago
2025-05-18,71,meditation,chicago
2025-05-25,70,meditation,chicago
2025-06-01,65,meditation,chicago
2025-06-08,77,meditation,chicago
2025-06-15,69,meditation,chicago
2025-06-22,65,meditation,chicago
2025-06-29,68,meditation,chicago
2025-07-06,100,meditation,chicago
2025-07-13,87,meditation,chicago
2025-07-20,98,meditation,chicago
2025-07-27,80,meditation,chicago
2025-08-03,77,meditation,chicago
2025-08-10,74,meditation,chicago
2025-08-17,72,meditation,chicago
2025-08-24,76,meditation,chicago
2025-08-31,73,meditation,chicago
2025-09-07,62,meditation,chicago
2025-09-14,83,meditation,chicago
2025-09-21,87,meditation,chicago
2025-09-28,74,meditation,chicago
2025-10-05,66,meditation,chicago
2025-10-12,84,meditation,chicago
2025-10-19,77,meditation,chicago
2025-10-26,74,meditation,chicago
2025-11-02,80,meditation,chicago
2025-11-09,83,meditation,chicago
2025-11-16,80,meditation,chicago
2025-11-23,63,meditation,chicago
2025-11-30,66,meditation,chicago
2025-12-07,65,meditation,chicago
2024-12-08,68,meditation,salt lake city
2024-12-15,78,meditation,salt lake city
2024-12-22,51,meditation,salt lake city
2024-12-29,81,meditation,salt lake city
2025-01-05,79,meditation,salt lake city
2025-01-12,79,meditation,salt lake city
2025-01-19,100,meditation,salt lake city
2025-01-26,89,meditation,salt lake city
2025-02-02,75,meditation,salt lake city
2025-02-09,81,meditation,salt lake city
2025-02-16,79,meditation,salt lake city
2025-02-23,72,meditation,salt lake city
2025-03-02,76,meditation,salt lake city
2025-03-09,69,meditation,salt lake city
2025-03-16,84,meditation,salt lake city
2025-03-23,85,meditation,salt lake city
2025-03-30,80,meditation,salt lake city
2025-04-06,91,meditation,salt lake city
2025-04-13,64,meditation,salt lake city
2025-04-20,70,meditation,salt lake city
2025-04-27,75,meditation,salt lake city
2025-05-04,82,meditation,salt lake city
2025-05-11,70,meditation,salt lake city
2025-05-18,71,meditation,salt lake city
2025-05-25,70,meditation,salt lake city
2025-06-01,74,meditation,salt lake city
2025-06-08,68,meditation,salt lake city
2025-06-15,82,meditation,salt lake city
2025-06-22,76,meditation,salt lake city
2025-06-29,78,meditation,salt lake city
2025-07-06,73,meditation,salt lake city
2025-07-13,75,meditation,salt lake city
2025-07-20,87,meditation,salt lake city
2025-07-27,79,meditation,salt lake city
2025-08-03,68,meditation,salt lake city
2025-08-10,62,meditation,salt lake city
2025-08-17,70,meditation,salt lake city
2025-08-24,74,meditation,salt lake city
2025-08-31,70,meditation,salt lake city
2025-09-07,68,meditation,salt lake city
2025-09-14,78,meditation,salt lake city
2025-09-21,70,meditation,salt lake city
2025-09-28,57,meditation,salt lake city
2025-10-05,58,meditation,salt lake city
