Category: All categories

Week,community care: (Austin TX)
2024-12-08,63
2024-12-15,60
2024-12-22,45
2024-12-29,80
2025-01-05,62
2025-01-12,71
2025-01-19,76
2025-01-26,76
2025-02-02,84
2025-02-09,66
2025-02-16,77
2025-02-23,82
2025-03-02,61
2025-03-09,71
2025-03-16,75
2025-03-23,74
2025-03-30,68
2025-04-06,70
2025-04-13,75
2025-04-20,52
2025-04-27,63
2025-05-04,60
2025-05-11,77
2025-05-18,69
2025-05-25,60
2025-06-01,81
2025-06-08,69
2025-06-15,73
2025-06-22,83
2025-06-29,74
2025-07-06,67
2025-07-13,90
2025-07-20,75
2025-07-27,92
2025-08-03,70
2025-08-10,77
2025-08-17,64
2025-08-24,85
2025-08-31,69
2025-09-07,80
2025-09-14,78
2025-09-21,81
2025-09-28,72
2025-10-05,79
2025-10-12,81
2025-10-19,100
2025-10-26,83
2025-11-02,80
2025-11-09,80
2025-11-16,77
2025-11-23,63
2025-11-30,71
2025-12-07,72
