Category: All categories

Week,community care: (New Jersey)
2024-12-08,42
2024-12-15,53
2024-12-22,23
2024-12-29,40
2025-01-05,56
2025-01-12,57
2025-01-19,44
2025-01-26,52
2025-02-02,66
2025-02-09,54
2025-02-16,51
2025-02-23,51
2025-03-02,66
2025-03-09,49
2025-03-16,48
2025-03-23,47
2025-03-30,55
2025-04-06,67
2025-04-13,40
2025-04-20,59
2025-04-27,43
2025-05-04,70
2025-05-11,44
2025-05-18,37
2025-05-25,46
2025-06-01,71
2025-06-08,65
2025-06-15,60
2025-06-22,55
2025-06-29,49
2025-07-06,54
2025-07-13,81
2025-07-20,74
2025-07-27,65
2025-08-03,66
2025-08-10,65
2025-08-17,60
2025-08-24,52
2025-08-31,46
2025-09-07,53
2025-09-14,65
2025-09-21,68
2025-09-28,66
2025-10-05,68
2025-10-12,55
2025-10-19,73
2025-10-26,64
2025-11-02,100
2025-11-09,98
2025-11-16,70
2025-11-23,56
2025-11-30,53
2025-12-07,56
