Category: All categories

Week,journaling: (New Jersey)
2024-12-08,39
2024-12-15,35
2024-12-22,34
2024-12-29,65
2025-01-05,47
2025-01-12,21
2025-01-19,36
2025-01-26,31
2025-02-02,0
2025-02-09,38
2025-02-16,46
2025-02-23,25
2025-03-02,42
2025-03-09,30
2025-03-16,0
2025-03-23,35
2025-03-30,28
2025-04-06,26
2025-04-13,36
2025-04-20,38
2025-04-27,36
2025-05-04,36
2025-05-11,0
2025-05-18,22
2025-05-25,46
2025-06-01,0
2025-06-08,29
2025-06-15,30
2025-06-22,41
2025-06-29,0
2025-07-06,64
2025-07-13,47
2025-07-20,100
2025-07-27,58
2025-08-03,37
2025-08-10,31
2025-08-17,42
2025-08-24,28
2025-08-31,23
2025-09-07,41
2025-09-14,28
2025-09-21,58
2025-09-28,31
2025-10-05,79
2025-10-12,40
2025-10-19,47
2025-10-26,32
2025-11-02,0
2025-11-09,46
2025-11-16,50
2025-11-23,0
2025-11-30,59
2025-12-07,26
