Category: All categories

Week,mental health: (Austin TX)
2024-12-08,60
2024-12-15,46
2024-12-22,36
2024-12-29,47
2025-01-05,55
2025-01-12,58
2025-01-19,60
2025-01-26,63
2025-02-02,72
2025-02-09,67
2025-02-16,68
2025-02-23,64
2025-03-02,62
2025-03-09,59
2025-03-16,52
2025-03-23,66
2025-03-30,64
2025-04-06,70
2025-04-13,60
2025-04-20,69
2025-04-27,74
2025-05-04,69
2025-05-11,62
2025-05-18,49
2025-05-25,50
2025-06-01,75
2025-06-08,65
2025-06-15,69
2025-06-22,62
2025-06-29,63
2025-07-06,69
2025-07-13,64
2025-07-20,84
2025-07-27,91
2025-08-03,61
2025-08-10,71
2025-08-17,59
2025-08-24,63
2025-08-31,64
2025-09-07,71
2025-09-14,82
2025-09-21,88
2025-09-28,87
2025-10-05,93
2025-10-12,78
2025-10-19,79
2025-10-26,78
2025-11-02,88
2025-11-09,99
2025-11-16,100
2025-11-23,69
2025-11-30,68
2025-12-07,66
