Category: All categories

Week,mental health: (New Jersey)
2024-12-08,79
2024-12-15,69
2024-12-22,43
2024-12-29,54
2025-01-05,71
2025-01-12,66
2025-01-19,66
2025-01-26,73
2025-02-02,75
2025-02-09,77
2025-02-16,88
2025-02-23,89
2025-03-02,85
2025-03-09,74
2025-03-16,85
2025-03-23,79
2025-03-30,80
2025-04-06,79
2025-04-13,75
2025-04-20,85
2025-04-27,99
2025-05-04,100
2025-05-11,83
2025-05-18,74
2025-05-25,71
2025-06-01,89
2025-06-08,84
2025-06-15,67
2025-06-22,66
2025-06-29,59
2025-07-06,71
2025-07-13,75
2025-07-20,89
2025-07-27,87
2025-08-03,65
2025-08-10,66
2025-08-17,61
2025-08-24,66
2025-08-31,73
2025-09-07,75
2025-09-14,92
2025-09-21,93
2025-09-28,88
2025-10-05,94
2025-10-12,78
2025-10-19,89
2025-10-26,80
2025-11-02,89
2025-11-09,100
2025-11-16,98
2025-11-23,67
2025-11-30,80
2025-12-07,81
