Category: All categories

Week,mental health: (Salt Lake City UT)
2024-12-08,80
2024-12-15,65
2024-12-22,41
2024-12-29,46
2025-01-05,75
2025-01-12,68
2025-01-19,69
2025-01-26,82
2025-02-02,79
2025-02-09,80
2025-02-16,85
2025-02-23,88
2025-03-02,84
2025-03-09,75
2025-03-16,87
2025-03-23,83
2025-03-30,73
2025-04-06,79
2025-04-13,68
2025-04-20,76
2025-04-27,83
2025-05-04,75
2025-05-11,69
2025-05-18,73
2025-05-25,67
2025-06-01,88
2025-06-08,81
2025-06-15,75
2025-06-22,76
2025-06-29,71
2025-07-06,73
2025-07-13,79
2025-07-20,87
2025-07-27,81
2025-08-03,69
2025-08-10,76
2025-08-17,63
2025-08-24,81
2025-08-31,85
2025-09-07,84
2025-09-14,96
2025-09-21,95
2025-09-28,94
2025-10-05,95
2025-10-12,84
2025-10-19,86
2025-10-26,85
2025-11-02,100
2025-11-09,94
2025-11-16,94
2025-11-23,72
2025-11-30,79
2025-12-07,78
