Category: All categories

Week,mindfulness: (Salt Lake City UT)
2024-12-08,52
2024-12-15,48
2024-12-22,49
2024-12-29,0
2025-01-05,41
2025-01-12,96
2025-01-19,71
2025-01-26,75
2025-02-02,52
2025-02-09,50
2025-02-16,78
2025-02-23,39
2025-03-02,54
2025-03-09,40
2025-03-16,77
2025-03-23,61
2025-03-30,61
2025-04-06,45
2025-04-13,100
2025-04-20,58
2025-04-27,61
2025-05-04,59
2025-05-11,59
2025-05-18,59
2025-05-25,0
2025-06-01,46
2025-06-08,40
2025-06-15,36
2025-06-22,56
2025-06-29,43
2025-07-06,66
2025-07-13,77
2025-07-20,93
2025-07-27,48
2025-08-03,59
2025-08-10,55
2025-08-17,51
2025-08-24,35
2025-08-31,53
2025-09-07,39
2025-09-14,71
2025-09-21,65
2025-09-28,72
2025-10-05,51
2025-10-12,84
2025-10-19,83
2025-10-26,55
2025-11-02,73
2025-11-09,85
2025-11-16,73
2025-11-23,54
2025-11-30,47
2025-12-07,58
