Category: All categories

Week,pilates: (Austin TX)
2024-12-08,66
2024-12-15,64
2024-12-22,70
2024-12-29,94
2025-01-05,99
2025-01-12,97
2025-01-19,93
2025-01-26,88
2025-02-02,92
2025-02-09,80
2025-02-16,96
2025-02-23,85
2025-03-02,91
2025-03-09,82
2025-03-16,79
2025-03-23,80
2025-03-30,94
2025-04-06,87
2025-04-13,82
2025-04-20,81
2025-04-27,86
2025-05-04,86
2025-05-11,86
2025-05-18,78
2025-05-25,84
2025-06-01,92
2025-06-08,92
2025-06-15,83
2025-06-22,93
2025-06-29,85
2025-07-06,98
2025-07-13,92
2025-07-20,93
2025-07-27,100
2025-08-03,97
2025-08-10,77
2025-08-17,96
2025-08-24,82
2025-08-31,79
2025-09-07,74
2025-09-14,79
2025-09-21,77
2025-09-28,78
2025-10-05,80
2025-10-12,74
2025-10-19,73
2025-10-26,84
2025-11-02,79
2025-11-09,71
2025-11-16,70
2025-11-23,64
2025-11-30,78
2025-12-07,79
