Category: All categories

Week,pilates: (New Jersey)
2024-12-08,60
2024-12-15,64
2024-12-22,72
2024-12-29,100
2025-01-05,85
2025-01-12,83
2025-01-19,80
2025-01-26,75
2025-02-02,76
2025-02-09,71
2025-02-16,85
2025-02-23,75
2025-03-02,84
2025-03-09,78
2025-03-16,79
2025-03-23,80
2025-03-30,84
2025-04-06,79
2025-04-13,79
2025-04-20,76
2025-04-27,81
2025-05-04,80
2025-05-11,78
2025-05-18,81
2025-05-25,74
2025-06-01,78
2025-06-08,80
2025-06-15,81
2025-06-22,77
2025-06-29,73
2025-07-06,87
2025-07-13,90
2025-07-20,86
2025-07-27,88
2025-08-03,84
2025-08-10,83
2025-08-17,80
2025-08-24,79
2025-08-31,74
2025-09-07,79
2025-09-14,77
2025-09-21,82
2025-09-28,81
2025-10-05,73
2025-10-12,78
2025-10-19,78
2025-10-26,69
2025-11-02,71
2025-11-09,79
2025-11-16,81
2025-11-23,75
2025-11-30,81
2025-12-07,83
